org,name,language,license,version,has_codemeta,has_citation,has_zenodo
IT-gMA,trash_detection_w_mmdetection,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
unwitting-life,unwitting.life,C++,LGPL-3.0,NA,FALSE,FALSE,FALSE
m-zakeri,iust_deep_fuzz,Python,MIT,v0.3.0,FALSE,FALSE,FALSE
twni2016,f-IRL,Python,MIT,NA,FALSE,FALSE,FALSE
marekdedic,DP-text,TeX,NA,1.0,FALSE,FALSE,FALSE
karennik98,master_ocr_modules,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
IdahoLabResearch,HydroGenerate,Python,BSD-3-Clause,v1.0.0,FALSE,FALSE,FALSE
keurfonluu,evodcinv,Python,BSD-3-Clause,v2.0.1,FALSE,FALSE,FALSE
ooipy,ooipy,Jupyter Notebook,MIT,v1.1.4,FALSE,FALSE,FALSE
NSLS-II,edrixs,Python,GPL-3.0,v0.0.7,FALSE,FALSE,FALSE
seanpm2001,SeansLifeArchive_Images_Battery,Assembly,GPL-3.0,M5V1.0B,FALSE,FALSE,FALSE
SietzeN,glottospace,R,GPL-3.0,v0.0.111,FALSE,FALSE,FALSE
ahp-electronics,xc-firmware,VHDL,GPL-3.0,v1.0,FALSE,FALSE,FALSE
ICLDisco,parsec,C,NA,v1.1.0,FALSE,FALSE,FALSE
ranndip,project_page,NA,NA,NA,FALSE,FALSE,FALSE
WarwickCDI,How-to-create-a-map-for-print-and-web-using-QGIS,NA,MIT,v1.0.1,FALSE,FALSE,FALSE
gwendoux,dotfiles,Shell,NA,v1.1,FALSE,FALSE,FALSE
scholarly-python-package,scholarly,Python,Unlicense,v1.6.0,FALSE,FALSE,FALSE
oliche,viewephys,Python,MIT,0.1.1,FALSE,FALSE,FALSE
ready4-dev,youthvars,R,NA,v0.9061,FALSE,FALSE,FALSE
ropensci,terrainr,R,NA,v0.6.0,TRUE,FALSE,FALSE
debruine,webmorph,JavaScript,MIT,v0.0.0.9001,FALSE,FALSE,FALSE
SebastianM-C,LaserTypes.jl,Julia,MIT,v0.1.8,FALSE,FALSE,FALSE
pojntfx,uni-supply-chain-paper,NA,AGPL-3.0,latest,FALSE,FALSE,FALSE
ICEI-PUC-Minas-PPLES-TI,PLF-ES-2021-2-TI1-7946100-crimes-ciberneticos-1,JavaScript,CC-BY-4.0,NA,FALSE,FALSE,FALSE
RenanMoraesCardoso,Projeto_Ciencia_de_dados,Python,NA,NA,FALSE,FALSE,FALSE
AvivYaish,KhetAI,NA,NA,NA,FALSE,FALSE,FALSE
MikeTaylor,VertFigure,Perl,GPL-3.0,v0.4,FALSE,FALSE,FALSE
AAIR-lab,AAIR-JEDAI,CSS,GPL-3.0,NA,FALSE,FALSE,FALSE
NREL-SIIP,PowerSystems.jl,Julia,BSD-3-Clause,v1.20.2,FALSE,FALSE,FALSE
kreshuklab,Plantseg-Cellpose-Augmentation,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
humboldtdigital,ediciones,NA,CC0-1.0,NA,FALSE,FALSE,FALSE
sepandhaghighi,pycm,Python,MIT,v3.4,FALSE,FALSE,FALSE
davidsneighbour,hugo-opensearch,Shell,NA,v0.0.2,FALSE,FALSE,FALSE
kryvokhyzha,examples-and-courses,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
vincentpierre,PythonUnitySharedMemory,C#,Apache-2.0,NA,FALSE,FALSE,FALSE
ejgrzesik,fuel-loads-and-plant-traits,NA,MIT,v1.1.0,FALSE,FALSE,FALSE
eribean,RyStats,Python,MIT,v0.5.0,FALSE,FALSE,FALSE
Interlin-q,Interlin-q,Python,MIT,0.0.1,FALSE,FALSE,FALSE
GaiaGrosso,Learning_NP,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
marekdedic,VU-text,TeX,CC-BY-4.0,1.0,FALSE,FALSE,FALSE
syjgino,DataInspectGUI,Python,NA,1.2,FALSE,FALSE,FALSE
fusion-energy,dagmc_geometry_slice_plotter,Python,MIT,0.1.1,FALSE,FALSE,FALSE
billbrod,spatial-frequency-preferences,Python,MIT,v1.1.1,FALSE,FALSE,FALSE
ARDG-NRAO,plumber,Python,MIT,v0.1,FALSE,FALSE,FALSE
samandmac,MixOmics-Project,NA,NA,NA,FALSE,FALSE,FALSE
OpenWaterAnalytics,pyswmm,Python,NA,v1.1.1,FALSE,FALSE,FALSE
AvivYaish,LazySet,Python,NA,NA,FALSE,FALSE,FALSE
Ellison0920,lab-website,SCSS,BSD-3-Clause,NA,FALSE,FALSE,FALSE
marekdedic,BP-text,TeX,NA,1.0,FALSE,FALSE,FALSE
msmobility,mito,Java,NA,vspbranch-2018-09-04,FALSE,FALSE,FALSE
automation555,tensorflow,C++,Apache-2.0,NA,FALSE,FALSE,TRUE
alejandrommingo,QLSA,R,NA,v0.1.0-alpha,FALSE,FALSE,FALSE
Wimmics,dekalog,JavaScript,NA,v2.5,FALSE,FALSE,FALSE
thePortus,hacking-historical-texts,HTML,MIT,NA,FALSE,FALSE,FALSE
rikhuijzer,citationexperiment,NA,NA,NA,FALSE,FALSE,FALSE
tiennvcs,MFD2021,Python,NA,NA,FALSE,FALSE,FALSE
gkanogiannis,ModifiedPerceptron.java,Java,GPL-3.0,v.1.0.0,FALSE,FALSE,FALSE
open-mmlab,mmediting,Python,Apache-2.0,v0.14.0,FALSE,FALSE,FALSE
PowerSense,Powersense.jl,Julia,MIT,v0.0.5,FALSE,FALSE,FALSE
OscillationMethods,Site,Makefile,NA,NA,FALSE,FALSE,FALSE
QIB-Sheffield,Weasel,Python,Apache-2.0,v44_0f2158a48f7ae72ab93244c39069e723a634d629,FALSE,FALSE,FALSE
debatelab,deepa2,Python,Apache-2.0,v0.1.5,FALSE,FALSE,FALSE
halldorag,The-Wellbore-Simulator-FloWell,MATLAB,NA,NA,FALSE,FALSE,FALSE
nlesc-recruit,cudawrappers,C++,Apache-2.0,0.3.0,FALSE,FALSE,FALSE
Alesyrex,Skillbox_HW_32_1,C++,NA,NA,FALSE,FALSE,FALSE
mobiusklein,glycresoft,Python,Apache-2.0,v0.4.8rc0,FALSE,FALSE,FALSE
franfranz,Verb_morphomes_ITA,R,MIT,NA,FALSE,FALSE,FALSE
lamphilong240820,BlockChain_Voting,JavaScript,NA,NA,FALSE,FALSE,FALSE
AG3NTZ3R0,cnbc,Python,GPL-3.0,0.0.2,FALSE,FALSE,FALSE
Shape-Fragments,pySHACL-timers,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
ar4,deepwave,Jupyter Notebook,MIT,v0.0.9,FALSE,FALSE,FALSE
andrLackner,non-linear-reasoning-bm,SMT,NA,NA,FALSE,FALSE,FALSE
DuncanMays,axon-ECRG,Python,NA,NA,FALSE,FALSE,FALSE
seanpm2001,SeansLifeArchive_Images_DiscoZoo,Python,GPL-3.0,M5V1.0.1B,FALSE,FALSE,FALSE
kacebe,AtlantGIS,QML,NA,v0.9.0,FALSE,FALSE,FALSE
Clinical-Genomics,patientMatcher,Python,MIT,v3.3,FALSE,FALSE,FALSE
MakotoNakai,heqsim,Python,MIT,NA,FALSE,FALSE,FALSE
Emotional-Text-to-Speech,dl-for-emo-tts,Jupyter Notebook,MIT,v1.0.0,FALSE,FALSE,FALSE
mtpsa,P4-NetFPGA-MTPSA,Verilog,NA,NA,FALSE,FALSE,FALSE
EchoHackCmd,Bolt,C++,LGPL-3.0,NA,FALSE,FALSE,FALSE
NLeSC,litstudy,Python,Apache-2.0,1.0.0,FALSE,FALSE,TRUE
epiforecasts,omicron-sgtf-forecast,R,NA,v1.3.0,FALSE,FALSE,FALSE
ICEI-PUC-Minas-PPLES-TI,PLF-ES-2021-2-TI1-7946100-crimes-ciberneticos-02,HTML,CC-BY-4.0,v1.0.0,FALSE,FALSE,FALSE
tnelsen,Drone-Data-in-Agricultural-Research,R,NA,NA,FALSE,FALSE,FALSE
PuAnysh,UFPMP-Det,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
zbmed-semtec,BioMedSem-IR-KD,HTML,NA,NA,FALSE,FALSE,FALSE
gemini3d,gemini3d,Fortran,Apache-2.0,v1.4.0,TRUE,FALSE,FALSE
MedVisBonn,eyelab,Python,MIT,v0.1.1,FALSE,FALSE,FALSE
bioRgeo,bioRgeo,R,GPL-3.0,NA,FALSE,FALSE,FALSE
bkuhlmann,runcom,Ruby,NA,v2.0.1,FALSE,FALSE,FALSE
chris-santiago,RandomVariates.jl,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
o2r-project,erc-checker,HTML,Apache-2.0,v1.3.0,TRUE,FALSE,FALSE
ArianePinche,coursTNAH_XML-TEI,XSLT,NA,NA,FALSE,FALSE,FALSE
fusion-energy,inertial_fusion_openmc_dagmc_paramak_example,Python,MIT,v0.2.0,FALSE,FALSE,FALSE
nano-optics,cubs,HTML,MPL-2.0,NA,FALSE,FALSE,FALSE
leon-dae,explainable_ML_ice_study,Jupyter Notebook,GPL-3.0,v0.1.3,FALSE,FALSE,FALSE
innat,BraTS-MGMT-Classification,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
cyborg2020,nextflow,Groovy,Apache-2.0,v22.02.1-edge,FALSE,FALSE,FALSE
TheAlbertDev,MASBstat,LabVIEW,NA,NA,FALSE,FALSE,FALSE
nellsam,work_tracking_web_initial,Kotlin,NA,NA,FALSE,FALSE,FALSE
jedavis82,scene_labeling,Shell,MIT,NA,FALSE,FALSE,FALSE
eshanking,seascapes_figures,Python,MIT,NA,FALSE,FALSE,FALSE
fschuch,incompact3d_plunging_criterion,Jupyter Notebook,GPL-3.0,NA,FALSE,FALSE,FALSE
SciKit-Surgery,scikit-surgerybk,Python,NA,v0.3.5,FALSE,FALSE,FALSE
Hackuarium,beemos-esp32,C++,NA,NA,FALSE,FALSE,FALSE
ghe-learn,ae-03-references,NA,MIT,NA,FALSE,FALSE,FALSE
zjunlp,DeepKE,Python,MIT,2.0.1,FALSE,FALSE,FALSE
qcoopman,minipro,Python,NA,NA,FALSE,FALSE,FALSE
calgo-lab,green-db,HTML,NA,0.1.8,FALSE,FALSE,FALSE
egonw,org.pathvisio.io.rdf,Java,Apache-2.0,NA,FALSE,FALSE,FALSE
EyckBlank,EB_Bio3D_22,C#,NA,v1.0.5,FALSE,FALSE,FALSE
gozzarda,pcg_dfa,C++,NA,v0.1.1,FALSE,FALSE,FALSE
koeppl,distinct_squares,C++,BSD-2-Clause,NA,FALSE,FALSE,FALSE
pangeo-data,climpred,Python,MIT,v2.2.0,FALSE,FALSE,FALSE
ndaniyarov,CS325-Project,Python,NA,NA,FALSE,FALSE,FALSE
puzzlef,pagerank-cuda-adjust-csr-datatype,C++,MIT,1.0.0,FALSE,FALSE,FALSE
kasra-hosseini,privgem,Python,MIT,v0.1.1,FALSE,FALSE,FALSE
arvados,arvados,Go,NA,2.3.3,FALSE,FALSE,FALSE
se-jaeger,data-imputation-paper,Jupyter Notebook,Apache-2.0,NA,FALSE,FALSE,FALSE
mcagriaksoy,Satellite_Images_Object_Detection_in_wide-deepLearning,Jupyter Notebook,GPL-3.0,NA,FALSE,FALSE,FALSE
salubinseid,mobility-aware-caching-iov-icn,Python,GPL-2.0,NA,FALSE,FALSE,FALSE
dirkschumacher,ompr,R,NA,v1.0.2,FALSE,FALSE,FALSE
henryhchchc,MockSniffer,Jupyter Notebook,MIT,v1.1.0,FALSE,FALSE,FALSE
crguezl,learning-vue-3-getting-started-guide,HTML,NA,NA,FALSE,FALSE,FALSE
bridgedb,BridgeDb,Java,Apache-2.0,release_3.0.13,FALSE,FALSE,FALSE
MarkHershey,dotfiles,Shell,MIT,NA,FALSE,FALSE,FALSE
xarray-contrib,xskillscore,Python,Apache-2.0,v0.0.24,FALSE,FALSE,FALSE
solarchemist,O2solubilitywater,R,GPL-3.0,v0.2,FALSE,FALSE,FALSE
carlesfernandez,yocto-geniux,Shell,MIT,v2.3,FALSE,FALSE,FALSE
complexdatacollective,Architect,JavaScript,GPL-3.0,v6.4.0,FALSE,FALSE,FALSE
mmore500,attributed-gossip-concept,Shell,NA,NA,FALSE,FALSE,FALSE
hornetfighter515,dist-iot-net,Python,MIT,NA,FALSE,FALSE,FALSE
allixender,swatpy,Jupyter Notebook,MIT,v0.2,FALSE,FALSE,FALSE
Asadquantum,NetSquidforQBA,Jupyter Notebook,CC0-1.0,NA,FALSE,FALSE,FALSE
UF-CISE-Computational-Neuroscience,Spike-Triggered-Descent,Python,NA,NA,FALSE,FALSE,FALSE
ben300694,knot-theory,Mathematica,MIT,NA,FALSE,FALSE,FALSE
knowler,knowlerkno.ws,CSS,NA,NA,FALSE,FALSE,FALSE
hrkz,cycle,Rust,MIT,NA,FALSE,FALSE,FALSE
wadpac,GGIR,R,NA,v2.0-1,FALSE,FALSE,TRUE
LudgerS,MRSartifactRemoval,MATLAB,GPL-3.0,NA,FALSE,FALSE,FALSE
dr-GitHub-account,learn_detection,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
ipasimulator,ipasim,C++,NA,v1.0.1,FALSE,FALSE,FALSE
Konstantinos-Drylerakis,climate-analysis,Python,NA,v1.1.0,FALSE,FALSE,FALSE
davideschiavone,core-v-mini-mcu,C,NA,NA,FALSE,FALSE,FALSE
sslab-gatech,Rudra,Rust,NA,hir-experimental,FALSE,FALSE,FALSE
PhilippJunk,homelette,Python,MIT,1.3,FALSE,FALSE,FALSE
colinbousige,StreamGCode,Python,NA,NA,FALSE,FALSE,FALSE
xmodar,invtorch,Python,Apache-2.0,v0.5.0,FALSE,FALSE,FALSE
GLAM-Workbench,glam-workbench.github.io,HTML,NA,v1.0.0,FALSE,FALSE,FALSE
martinsefl,pcr,NA,NA,NA,FALSE,FALSE,FALSE
kylerobots,ground-texture-sim,Python,GPL-3.0,3.1.0,FALSE,FALSE,FALSE
puzzlef,pagerank-adjust-damping-factor,C++,MIT,1.0.1,FALSE,FALSE,FALSE
shenyi0220,mmcv,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
dnanto,democapsid,JavaScript,MIT,NA,FALSE,FALSE,FALSE
seanpm2001,SeansLifeArchive_Images_ModernSmurfsVillage,PureScript,GPL-3.0,NA,FALSE,FALSE,FALSE
ThomasWong2022,numerai-signals,NA,Apache-2.0,NA,FALSE,FALSE,FALSE
danieldehaan96,spdf,R,NA,NA,FALSE,FALSE,FALSE
sy3c4ll,midea,NA,NA,NA,FALSE,FALSE,FALSE
limingyin18,DigitalHumanAndroid,C,NA,NA,FALSE,FALSE,FALSE
SoftwareSystemsLaboratory,ssl-metrics-json-converter,Python,BSD-3-Clause,0.3.1,FALSE,FALSE,TRUE
Doctorado-ML,STree,Python,MIT,v1.2.3,FALSE,FALSE,FALSE
spack,spack,Python,NA,v0.17.1,FALSE,FALSE,FALSE
BabadiLab,NLGC,Python,BSD-3-Clause,0.3.1,FALSE,FALSE,FALSE
seanpm2001,SeansLifeArchive_VideoDirectory,C++,GPL-3.0,M5V1.0B,FALSE,FALSE,FALSE
devalk96,Thema09-JavaWrapper,Java,NA,NA,FALSE,FALSE,FALSE
claudemeffan,hp4294a-IA-GPIB,Python,CC0-1.0,HP4294a-v1.0.1,FALSE,FALSE,FALSE
LarsV123,it3010,Python,NA,NA,FALSE,FALSE,FALSE
healthbadge,episimmer,Jupyter Notebook,NA,v2.1.1,FALSE,FALSE,FALSE
filcfig,PCP,Shell,MIT,NA,FALSE,FALSE,FALSE
CLARIAH,grlc,Python,MIT,v1.3.7,FALSE,FALSE,TRUE
GeostatsGuy,ExcelNumericalDemos,NA,MIT,v0.0.1,FALSE,FALSE,FALSE
kazewong,BackPop,TeX,MIT,NA,FALSE,FALSE,FALSE
seabove7,RandomFun,R,MIT,v1.0.0,FALSE,FALSE,FALSE
chriswaudby,qq-hahnecho,Julia,MIT,v1.0.1,FALSE,FALSE,FALSE
silk1100,behavioralProject,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
AaronLMG,PYG,Jupyter Notebook,NA,v1.0.0,FALSE,FALSE,FALSE
anilozdemir,EchoVPR,Python,MIT,NA,FALSE,FALSE,FALSE
puzzlef,pagerank-nvgraph-adjust-rank-datatype,C++,MIT,1.0.0,FALSE,FALSE,FALSE
alon-albalak,TLiDB,Python,MIT,v1.0.1,FALSE,FALSE,FALSE
erdogant,pca,Python,MIT,1.7.0,FALSE,FALSE,FALSE
JulianKarlBauer,mechkit,Python,MIT,v0.3.9,FALSE,FALSE,FALSE
vWing7,VisRecSys,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
tesselle,dimensio,R,GPL-3.0,v0.2.2,TRUE,FALSE,FALSE
papachristoumarios,financial-contagion,Python,NA,www-2022,FALSE,FALSE,FALSE
nasa-cisto-ai,terragpu,Python,Apache-2.0,2021.11,FALSE,FALSE,FALSE
ready4-dev,scorz,R,NA,v0.0.0.9048,FALSE,FALSE,FALSE
wachira90,python-serial,Python,NA,NA,FALSE,FALSE,FALSE
Sarrazola-j-i,Relic-Abundance-Dark-Fermions-Anihilation,Jupyter Notebook,NA,0.1.0,FALSE,FALSE,FALSE
brains-on-code,paper-esec-fse-2017,Java,CC-BY-SA-4.0,NA,FALSE,FALSE,FALSE
zavolanlab,zarp,Python,Apache-2.0,v0.3.1,FALSE,FALSE,FALSE
allenai,staged-training,Jupyter Notebook,Apache-2.0,NA,FALSE,FALSE,FALSE
SupervisedStylometry,SuperStyl,Python,NA,v0.1,FALSE,FALSE,FALSE
zmlabe,predictGMSTrate,Python,MIT,v1.1,FALSE,FALSE,FALSE
twitter-research,image-crop-analysis,Jupyter Notebook,Apache-2.0,NA,FALSE,FALSE,FALSE
Humans-of-Julia,Bibliography.jl,Julia,MIT,v0.2.17,FALSE,FALSE,FALSE
rpreen,xcsf,C,GPL-3.0,v.1.1.6,FALSE,FALSE,FALSE
AlexHenderson,hasher,Python,MIT,v1.1.1,FALSE,FALSE,FALSE
amesoudi,cultural_evolution_ABM_tutorial,NA,GPL-3.0,v1.2.0,FALSE,FALSE,FALSE
trngpg,openfold,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
E-Health,fhirform,NA,NA,NA,FALSE,FALSE,FALSE
ryanxingql,rbqe,MATLAB,Apache-2.0,v1.0.0,FALSE,FALSE,FALSE
vsitzmann,awesome-implicit-representations,NA,MIT,NA,FALSE,FALSE,FALSE
bubibon,AI_ART,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
KTH,spork,Java,MIT,v0.5.1,FALSE,FALSE,FALSE
4estlaine,Interstate.jl,Julia,NA,NA,FALSE,FALSE,FALSE
anujpathania,HotSniper,C,NA,NA,FALSE,FALSE,FALSE
snowex-hackweek,website,Jupyter Notebook,MIT,2021.09.07,FALSE,FALSE,FALSE
SPCData,TCV-X21,Python,CC-BY-4.0,v1.0,FALSE,FALSE,FALSE
ronaldosvieira,gym-locm,Python,MIT,v0.5.0,FALSE,FALSE,FALSE
Heterogeneity-WG,age_struct_malaria_simulation,MATLAB,NA,NA,FALSE,FALSE,FALSE
OscillationMethods,Visualizers,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
joycenerd,rsna-pneumonia-detection,Python,MIT,NA,FALSE,FALSE,FALSE
BojanaBajzelj,fao_fat_map,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
rOpenSpain,CatastRo,R,GPL-2.0,v0.2.1,TRUE,FALSE,FALSE
carbonplan,cdr-database,JavaScript,MIT,1.2.0,FALSE,FALSE,TRUE
inbo,grtsdb,R,GPL-3.0,v0.2,FALSE,FALSE,TRUE
ljishen,SmartNIC-WU,Roff,MIT,v1.0,FALSE,FALSE,FALSE
UCREL,pymusas,Python,Apache-2.0,v0.2.0,FALSE,FALSE,FALSE
aphalo,gginnards,R,NA,NA,FALSE,FALSE,FALSE
mdrafiqulrabin,tnpa-generalizability,Java,MIT,NA,FALSE,FALSE,FALSE
ismaeldamiao,libdamiao,C,MIT,v1.1,FALSE,FALSE,FALSE
The-Academic-Observatory,observatory-platform,Python,Apache-2.0,0.3.0,FALSE,FALSE,TRUE
rohankumardubey,undouble,Python,BSD-3-Clause,1.1.2,FALSE,FALSE,FALSE
anabcoelho,V.choleraemetabolism,Python,NA,NA,FALSE,FALSE,FALSE
laserkelvin,astrochem_embedding,Python,MIT,v0.1.4,FALSE,FALSE,FALSE
Cmput416F21,PyGlueTokenizer,Python,NA,NA,FALSE,FALSE,FALSE
ixlab,eval,TeX,NA,NA,FALSE,FALSE,FALSE
cogment,cogment-verse,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
lukasHoel,3rscan-triplet-dataset-toolkit,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
oolonek,taxo_scorer,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
erdogant,df2onehot,Python,NA,1.0.1,FALSE,FALSE,FALSE
erdogant,bnlearn,Jupyter Notebook,NA,v0.2.1,FALSE,FALSE,FALSE
HEGSRR,HEGSRR-Template,R,BSD-3-Clause,v0.1-alpha,FALSE,FALSE,FALSE
benjaminpeet,configurationsofhigherorders,NA,NA,NA,FALSE,FALSE,FALSE
danielvartan,health,R,NA,NA,TRUE,FALSE,FALSE
connerlambden,Cube,Python,NA,NA,FALSE,FALSE,FALSE
tiulpin,spoon-2,Java,NA,NA,FALSE,FALSE,FALSE
PSST-Challenge,psstdata,Python,NA,v1.0.0,FALSE,FALSE,FALSE
Peter-E-Martin,HeCalc,Python,GPL-3.0,v0.1.1-alpha,FALSE,FALSE,FALSE
jplimagomes,projeto_de_verao_joaopaulo,R,NA,NA,FALSE,FALSE,FALSE
drosophominin,omega_analysis,Python,MIT,NA,FALSE,FALSE,FALSE
OniDaito,HOLLy,Python,GPL-3.0,v1.3,FALSE,FALSE,FALSE
hdduytran,mmocr,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
OceanParcels,parcels,Jupyter Notebook,MIT,v2.3.0,FALSE,FALSE,FALSE
noemieplanat,Copy-parcels-master,Jupyter Notebook,MIT,v2.3.0,FALSE,FALSE,FALSE
mhmtbk,Web-NDefA,JavaScript,NA,NA,FALSE,FALSE,FALSE
lhdjung,scrutiny,R,GPL-3.0,NA,FALSE,FALSE,FALSE
Joker-co,mmdet_pro,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
seanpm2001,Daily-desktop-screenshots,desktop,GPL-3.0,Y3V1,FALSE,FALSE,FALSE
dianna-ai,dianna,Jupyter Notebook,Apache-2.0,v0.4.1,FALSE,FALSE,FALSE
Gurobi,grblogtools,Python,Apache-2.0,v2.0.0,FALSE,FALSE,FALSE
yufree,daily,HTML,MIT,NA,FALSE,FALSE,FALSE
ORNL,AADL,Python,NA,NA,FALSE,FALSE,FALSE
force11,force11-sciwg,NA,BSD-3-Clause,NA,FALSE,FALSE,FALSE
NeoMapas,analysis-fototrampeo-lagunillas,R,NA,NA,FALSE,FALSE,FALSE
NorthernWidget,MaxBotix-Helper,NA,CC-BY-SA-4.0,v1.0.0,FALSE,FALSE,FALSE
trejkev,knnsearch_for_SLAM,MATLAB,MIT,v1.0,FALSE,FALSE,FALSE
ethancaballero,description2code,Python,NA,v1.0.0,FALSE,FALSE,FALSE
NorbertNiderla,riot-lab,C,NA,NA,FALSE,FALSE,FALSE
bgonzalezbustamante,chilean-ministers,TeX,CC-BY-4.0,v3.3.6,FALSE,FALSE,FALSE
FowlerLab,Enrich2,Python,BSD-3-Clause,v1.3.1,FALSE,FALSE,FALSE
jgraph,drawio,JavaScript,Apache-2.0,v17.4.0,FALSE,FALSE,FALSE
briandfoy,tie-boundedinteger,Perl,NA,release-1.007,FALSE,FALSE,FALSE
oemof,oemof-network,Python,MIT,v0.4.0rc1,FALSE,FALSE,FALSE
LucasLarson,gunstage,Shell,NA,v1.7.0,FALSE,FALSE,FALSE
Girib10,wine_challenge,C++,NA,NA,FALSE,FALSE,FALSE
CharlesPikachu,paperdl,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
erdogant,colourmap,Python,NA,1.1.4,FALSE,FALSE,FALSE
mmarius,awesome-finetuning,NA,MIT,NA,FALSE,FALSE,FALSE
lionel68,ase_fallow,R,NA,v1.1,FALSE,FALSE,FALSE
ailich,GLCMTextures,R,NA,v0.11.1,FALSE,FALSE,FALSE
FoNDUE-HTR,FONDUE-MSS-18,NA,NA,NA,FALSE,FALSE,FALSE
noemieplanat,Parcels2,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
ImXman,MACA,Jupyter Notebook,GPL-3.0,NA,FALSE,FALSE,FALSE
tweber-ill,ill_mirror-takin2-mnsi,C++,GPL-2.0,ver-1.0.6,FALSE,FALSE,FALSE
vertesy,CodeAndRoll2,R,GPL-3.0,v2.1.8,FALSE,FALSE,FALSE
pvlib,twoaxistracking,Python,BSD-3-Clause,v0.2.1,FALSE,FALSE,FALSE
PyPSA,PyPSA,Python,MIT,v0.19.2,FALSE,FALSE,FALSE
visaVita,mmaction2,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
SarthakYadav,leaf-pytorch,Python,NA,NA,FALSE,FALSE,FALSE
saswataroy1987,gDART,Python,NA,NA,FALSE,FALSE,FALSE
ljl0012,ExtractingBuildingByMMSeg,Python,NA,NA,FALSE,FALSE,FALSE
TNO-MPC,encryption_schemes.utils,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
QCmonk,SQST,Python,NA,NA,FALSE,FALSE,FALSE
vnmabus,dcor,Python,MIT,v0.3,FALSE,FALSE,FALSE
bgonzalezbustamante,twConstitution,R,MIT,NA,FALSE,FALSE,FALSE
alan-turing-institute,Palaeoanalytics,Python,GPL-3.0,v1.0.0,FALSE,FALSE,FALSE
ICEI-PUC-Minas-PPLES-TI,PLF-ES-2021-2-TI1-7946100-digitavac,HTML,CC-BY-4.0,NA,FALSE,FALSE,FALSE
puzzlef,pagerank-cuda-optimization-skip-converged,C++,MIT,1.0.0,FALSE,FALSE,FALSE
tp5uiuc,soft_systems_course,Jupyter Notebook,NA,v1.0,FALSE,FALSE,FALSE
SoftwareSystemsLaboratory,ssl-metrics-pipeline,Shell,BSD-3-Clause,0.1.4,FALSE,FALSE,TRUE
LIMUNIMI,SAMPLE,Python,MIT,v1.5.0b2,FALSE,FALSE,FALSE
AvivYaish,SMTsolver,Python,MIT,NA,FALSE,FALSE,FALSE
ecoacoustics,metadata-standard,NA,NA,v0.1,FALSE,FALSE,FALSE
ropensci-docs,cffr,JavaScript,NA,NA,FALSE,FALSE,FALSE
Sebsslpwthkybd,Sebsslpwthkybd,Python,NA,NA,FALSE,FALSE,FALSE
maelle-v,FitOCT-preprocessing,NA,MIT,NA,FALSE,FALSE,FALSE
ls1intum,Artemis,Java,MIT,actions/test4,FALSE,FALSE,FALSE
AlexTheBad,AP-10K,Python,CC-BY-4.0,NA,FALSE,FALSE,FALSE
kandula92,testing1,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
sagemath,sage,Python,NA,9.6.beta7,FALSE,FALSE,TRUE
jipolanco,Circulation.jl,Julia,MPL-2.0,v1.0.2,FALSE,FALSE,FALSE
SteveKommrusch,PrgEq,Perl,NA,NA,FALSE,FALSE,FALSE
openrsp,openrsp,Fortran,LGPL-2.1,v1.0.0,FALSE,FALSE,TRUE
Nettimi-Satya-Sai-Srinivas,ethernet-packet-generator-hardware-prototype,Verilog,GPL-3.0,NA,FALSE,FALSE,FALSE
mark-semelhago,GMIA_rGMIA,MATLAB,GPL-3.0,NA,FALSE,FALSE,FALSE
lec71,SeaChangesOsloWorkshop21,NA,MIT,NA,FALSE,FALSE,FALSE
OffcierCia,DeFi-Developer-Road-Map,NA,NA,NA,FALSE,FALSE,FALSE
krishnamoji,12C-alpha,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
Ritujoy,Optimal-Microphone-Position,NA,NA,NA,FALSE,FALSE,FALSE
